qid,brand,entity,search_mom,search_yoy,news_mom,news_yoy,status
Q894874,Bottega Veneta,Fashion company,-3%,-2%,,,ok
Q1548951,Moncler,Company,+20%,-6%,,,ok
Q827258,Bershka,Clothing retail company,+1%,+10%,,,ok
Q136503,Mango,Outlet store company,-10%,+1%,,,ok
Q158285,Diesel,Fashion brand,-2%,+5%,,,ok
Q634881,Tommy Hilfiger B.V.,Fashion brand,-3%,-10%,,,ok
Q142691,Montblanc International GmbH,Luxury goods company,+30%,+130%,,,ok
Q2842931,American Eagle Outfitters,Clothing company,+3%,-50%,,,ok
Q1130409,Vertu,Mobile telecommunication company,+8%,-10%,,,ok
Q7629175,"Stüssy, Inc.",Department store company,+10%,+500%,,,ok
Q649646,Valentino,Fashion company,+7%,-10%,,,ok
Q948531,Celine,Brand,-5%,-20%,,,ok
Q174310,Nordstrom,Department store chain,-10%,-4%,,,ok
Q1439645,Macron,Sportswear company,-4%,+30%,,,ok
Q532310,Hummel International,Sportswear company,+10%,-10%,,,ok
Q25387414,Brandy Melville,Company,+650%,+4400%,,,ok
Q1684445,Superdry & Co,Company,-2%,+4%,,,ok
Q123700068,Alo Yoga,Apparel company,+30%,+40%,,,ok
Q1539185,The Timberland Company,Footwear manufacturing company,+10%,+80%,,,ok
Q2003244,Thor Steinar,Topic (brand),+20%,+30%,,,ok
Q691029,Pull&Bear,Clothing retail company,-5%,-10%,,,ok
Q16908664,Hoka,Sportswear company,-50%,-80%,,,ok
Q1075391,Chloé,Clothing company,-6%,-10%,,,ok
Q378698,Jaeger-LeCoultre,Company,+10%,+40%,,,ok
Q3205965,LC Waikiki,Clothing retail company,-20%,-30%,,,ok
Q1060537,Forever 21,Fashion brand,-10%,-40%,,,ok
Q1257477,Hollister Co.,Retail company,-70%,-80%,,,ok
Q1445358,Wrangler,Jeans company,+10%,+5%,,,ok
Q53472173,Off-White,Company,+1%,0%,,,ok
Q56246099,Gymshark,Company,-8%,+40%,,,ok
Q1355904,Zegna,Fashion company,-3%,-70%,,,ok
Q631894,HEAD,Sports equipment company,-30%,-30%,,,ok
Q806085,Banana Republic,Fashion brand,-1%,+9%,,,ok
Q11815580,Pepco,Discount store chain,+10%,+20%,,,ok
Q3410623,Puig,Company,-4%,+7%,,,ok
Q1385309,Balmain,Fashion company,-5%,-1%,,,ok
Q6108019,JD Sports,Retail company,+1%,+7%,,,ok
Q1200698,Le Bon Marché,Department store,-20%,-60%,,,ok
Q463378,American Apparel Inc.,Clothing retail company,-10%,-50%,,,ok
Q659863,Moschino,Fashion brand,+3%,-10%,,,ok
Q1422481,Fjällräven,Clothing company,+130%,-20%,,,ok
Q706421,New Yorker,Clothing retail company,-3%,0%,,,ok
Q24908552,100 Thieves,Company,-30%,-7%,,,ok
Q938773,DKNY,Fashion company,-3%,+30%,,,ok
Q13882231,Alexander McQueen,Fashion design company,0%,-20%,,,ok
Q23823668,TK Maxx,Clothing retail company,+20%,+20%,,,ok
Q63335,Foot Locker,Retail company,+10%,-2%,,,ok
Q1151774,Max Mara,Fashion company,+20%,+20%,,,ok
Q182399,J. Barbour and Sons,Outerwear company,+6%,-30%,,,ok
Q110778161,SKIMS,Clothing company,-7%,+30%,,,ok
Q5512642,GU,Retail company,-10%,-9%,,,ok
Q2855977,Slazenger,Sports equipment company,-30%,>5000 (breakout),,,ok
Q2735242,Old Navy,Clothing retail company,+9%,+160%,,,ok
Q670764,Brooks Sports,Sports equipment company,+7%,+40%,,,ok
Q743497,Neiman Marcus,Department store chain,-6%,-30%,,,ok
Q1132272,PVH Corp.,Clothing company,-10%,-20%,,,ok
Q114913,Dickies,Apparel company,+20%,+50%,,,ok
Q1341990,Strauss,Workwear company,-6%,+750%,,,ok
Q1280255,ECCO,Company,-10%,-1%,,,ok
Q2782017,Napapijri,Fashion company,>5000 (breakout),+30%,,,ok
Q246655,Next plc,Clothing company,+3%,+1%,,,ok
Q3946053,Salvatore Ferragamo,Fashion company,-3%,+7%,,,ok
Q1095857,C. & J. Clark International Ltd,Footwear retail company,+3%,-3%,,,ok
Q604667,Emilio Pucci,Topic (brand),-20%,+300%,,,ok
Q29015034,JW Anderson,JW Anderson - Fashion label,-10%,-30%,,,ok
Q25351941,The Row,The Row - Fashion brand,0%,0%,,,ok
Q849724,Brioni,Brioni - Menswear company,-6%,+8%,,,ok
Q844805,Dillard's,Dillard's - Department store chain,+7%,-9%,,,ok
Q842174,"Eddie Bauer Holdings, Inc.",Eddie Bauer - Clothing company,+100%,+160%,,,ok
Q866899,Lanvin,Lanvin - Company,+3%,+1%,,,ok
Q147505,Zappos,Zappos - Online retail company,+60%,+40%,,,ok
Q2072372,streetwear,Streetwear - Topic,-7%,-20%,,,ok
Q4038967,Fred Perry,Fred Perry - Fashion accessory company,+2%,>5000 (breakout),,,ok
Q18712957,Farfetch,Farfetch - Company,+20%,+20%,,,ok
Q22101752,Adidas Yeezy,Adidas Yeezy - Shoes,+10%,-50%,,,ok
Q6131944,L.L.Bean,L.L.Bean - Retail company,0%,+3%,,,ok
