qid,brand,description,sitelinks,en_title,n_wikipedias,review_flag,pv_median,trends_score,news_score,wiki_mom,wiki_yoy,wiki_latest,search_mom,search_yoy,news_mom,news_yoy,elig_pv,elig_trends,elig_news,trends_ratio,news_ratio,pv_ratio,sources,attention,breadth,raw,rank,interest_index,tier
Q806085,Banana Republic,American clothing and accessories retailer,23.0,Banana Republic,22,,11331.0,,,+4%,+5%,11526.0,-1%,+9%,+1000%,>5000 (breakout),True,False,False,0.0,0.0,0.3284520478491436,pv,0.3284520478491436,0.5326995862526512,0.3590891786096697,51,36.6,B
Q3410623,Puig,multinational fashion and beauty company,17.0,Puig (company),17,,12200.0,,,+6%,-10%,10612.0,-4%,+7%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.34081426922761465,pv,0.34081426922761465,0.45797619248420973,0.3583885577161039,52,36.6,B
Q752515,Bulgari,Italian luxury fashion house,52.0,Bulgari,51,,23927.0,107.66,68.86,+3%,-22%,20048.0,+10%,-10%,+3300%,>5000 (breakout),True,True,True,0.25285491200062354,0.18139432775338965,0.4772896084340786,trends+news+pv,0.2763036760131444,0.8009771249535805,0.35500469335420975,53,36.2,B
Q1200698,Le Bon Marché,"luxury department store in the 7ᵗʰ arrondissement of Paris, France",31.0,Le Bon Marché,30,,9939.0,,,-5%,+3%,9510.0,-20%,-60%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.3076161975258055,pv,0.3076161975258055,0.6184424448636767,0.3542401346264862,54,36.1,B
Q63335,Foot Locker,American sportswear and footwear retailer,20.0,Foot Locker,20,,10131.0,189.26,190.54,+11%,-10%,10419.0,+10%,-2%,0%,0%,True,True,True,0.33525373493682165,0.30174026935999365,0.31057322505168145,trends+news+pv,0.3202635932867452,0.49674492552822314,0.3467357931229669,55,35.4,B
Q2735242,Old Navy,American clothing and accessories retailer,20.0,Old Navy,19,,9397.0,234.06,117.74,+2%,-22%,9346.0,+9%,+160%,+120%,>5000 (breakout),True,True,True,0.3728273872192772,0.23719318620474245,0.2991110570558886,trends+news+pv,0.3173938608822391,0.49674492552822314,0.3442965205791367,56,35.1,B
Q701338,C&A,international Dutch chain of fashion retail clothing stores,24.0,C&A,24,,20049.0,160.46,97.24,-5%,-20%,16120.0,-1%,-7%,+600%,>5000 (breakout),True,True,True,0.30869358249174894,0.21555726685015897,0.4369021804202116,trends+news+pv,0.3063944073849645,0.5441568020760632,0.34205876658862927,57,34.9,B
Q211951,ASOS,British online fashion and beauty retailer,18.0,ASOS plc,17,,4019.0,216.92,235.22,,,8234.0,-2%,+20%,+110%,+3400%,True,True,True,0.35891698001223454,0.33525658437831923,0.19561261428714902,trends+news+pv,0.31915798817704283,0.47125361423997153,0.34197233208648214,58,34.9,B
Q631894,HEAD,sports equipment and clothing company,21.0,Head (company),20,,10224.0,,,-4%,-24%,10021.0,-30%,-30%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.3119954601261734,pv,0.3119954601261734,0.5090120795127969,0.3415479530341669,59,34.8,B
Q649646,Valentino,Italian clothing company founded in 1960 by Valentino Garavani,32.0,Valentino (fashion house),31,,12847.0,161.6,97.24,+2%,-18%,10234.0,+7%,-10%,+1600%,>5000 (breakout),True,True,True,0.30978820997106155,0.21555726685015897,0.3497346935218331,trends+news+pv,0.2895082237449451,0.6283381523199622,0.34033271303119766,60,34.7,B
